Ticker,Date,Time,Open,High,Low,Close,Vol
HD,20040929,1600,38.7700,39.3900,38.7700,39.3800,5908200
HD,20040930,1600,39.2700,39.7300,39.0600,39.2000,9433100
HD,20041001,1600,39.5900,39.6500,39.2000,39.2500,6478400
HD,20041004,1600,39.2600,39.9000,39.2600,39.6400,7469800
HD,20041005,1600,39.5000,39.6800,39.2000,39.5300,5888800
HD,20041006,1600,39.6000,39.8000,39.3600,39.7100,4025000
HD,20041007,1600,39.7500,39.9500,39.2600,39.2900,5069600
HD,20041008,1600,39.1000,39.6000,38.7100,39.0200,6016000
HD,20041011,1600,39.3200,40.2100,39.3100,40.0700,8886700
HD,20041012,1600,39.7500,40.0000,39.1300,39.8500,5636500
HD,20041013,1600,40.0000,40.0300,39.5900,39.7900,5368700
HD,20041014,1600,39.7000,39.8700,39.1000,39.3100,3965200
HD,20041015,1600,39.5100,39.8800,39.1500,39.8100,7371900
HD,20041018,1600,39.8100,40.2700,39.6400,40.1800,7005500
HD,20041019,1600,40.2200,40.4600,39.9400,40.0300,2344200
HD,20041020,1600,39.7400,39.7900,39.3600,39.6900,2965600
HD,20041021,1600,39.4000,39.9300,39.4000,39.7300,4915100
HD,20041022,1600,39.7300,39.9400,39.1200,39.1700,4380200
HD,20041025,1600,38.9000,38.9000,38.3100,38.6700,6264900
HD,20041026,1600,38.6500,39.7200,38.5800,39.6700,6137600
HD,20041027,1600,39.5100,40.8500,39.5000,40.7900,8385400
HD,20041028,1600,40.5700,41.4300,40.5500,41.4300,4899500
HD,20041029,1600,41.0700,41.5000,40.8100,41.0800,8337000
HD,20041101,1600,41.0200,41.6800,40.9600,41.0800,7110900
HD,20041102,1600,40.8600,41.5600,40.8600,41.1400,5946600
HD,20041103,1600,41.8900,41.8900,40.8000,41.2100,7184400
HD,20041104,1600,41.2100,41.9900,41.0500,41.9400,6686900
HD,20041105,1600,41.9400,42.7000,41.9000,42.2900,7898600
HD,20041108,1600,42.2000,42.7600,42.1000,42.4500,5878100
HD,20041109,1600,42.3000,42.5500,41.8400,42.0200,3395900
HD,20041110,1600,41.6879,41.9448,41.5100,41.5100,5292700
HD,20041111,1600,41.8846,42.3688,41.6078,42.2700,5803900
HD,20041112,1600,42.3345,42.7396,42.2554,42.7100,6469000
HD,20041115,1600,42.6080,43.4676,42.3609,43.2700,9986300
HD,20041116,1600,43.7449,43.7746,42.1442,42.4900,16544900
HD,20041117,1600,42.3433,42.7879,41.6812,41.7800,11830900
HD,20041118,1600,41.7763,42.3790,41.5589,42.3000,9321300
HD,20041119,1600,42.4668,42.4767,42.1605,42.2000,8913000
HD,20041122,1600,42.2259,42.8979,42.0480,42.7200,6973200
HD,20041123,1600,42.7136,43.0595,42.4962,43.0200,6060100
HD,20041124,1600,42.9694,43.2857,42.8113,42.9200,4722400
HD,20041126,1600,42.7513,43.1762,42.7414,42.8600,2106000
HD,20041129,1600,42.7967,42.9647,42.0951,42.5200,7299300
HD,20041130,1600,42.0826,42.4787,41.3400,41.3400,9843800
HD,20041201,1600,41.5333,42.1471,41.4838,41.8600,8646500
HD,20041202,1600,41.8687,42.2648,41.0864,41.7400,8408100
HD,20041203,1600,41.4394,41.8553,41.2612,41.3800,6244100
HD,20041206,1600,41.1840,41.7682,41.1840,41.5900,5012800
